physician_specialty,patient_volume,eligible_patients,research_interest,distance_to_site,active_trials,coordinator_load,screen_failure_rate,historical_enrollment,site_experience,visit_burden,eligibility_strictness,specialty_match,geographic_score,site_burden,capacity_score,patient_fit,match_score,match_label,match_score_noisy,physician_id,site_id,study_id,predicted_match,predicted_match_label
ENT,914,178,4,26,9,16,0.1638665397468603,0.5842639755086538,7,14,1,1.0,0.48,0.4046706664717493,0.3478294831441331,0.19474835886214442,0.48578591969718776,0,0.4905134123133306,PHY1000,SITE200,CRSsNP-001,0,Weak Match
PrimaryCare,111,5,5,11,6,8,0.4160332999885751,0.5680632953037641,8,13,8,0.3,0.78,0.182795489293806,0.46422388728886077,0.04504504504504504,0.39882648978965285,0,0.36598065744585906,PHY1001,SITE201,CRSsNP-001,0,Weak Match
Allergy,417,49,8,8,2,17,0.34651629934165784,0.3042579194969323,6,5,1,0.7,0.84,0.3423480609651484,0.20009581072386734,0.11750599520383694,0.4791608548492179,0,0.41676555853282365,PHY1002,SITE202,CRSsNP-001,0,Weak Match
Allergy,691,147,6,44,5,38,0.11794422305108682,0.7916389385798958,3,5,3,0.7,0.12,0.8946984477137295,0.08336080908271855,0.21273516642547033,0.3223861086515383,0,0.2636749197786278,PHY1003,SITE203,CRSsNP-001,0,Weak Match
ENT,315,53,4,40,4,25,0.3490187961849127,0.51589494038194,6,14,3,1.0,0.19999999999999996,0.5747897859323887,0.21936379803620223,0.16825396825396827,0.4084572730774937,0,0.40109556416877157,PHY1004,SITE204,CRSsNP-001,0,Weak Match
ENT,438,51,7,43,7,26,0.22356708913750645,0.6244593787803258,2,12,2,1.0,0.14,0.6327914586662862,0.2293068176040805,0.11643835616438356,0.4306918066952834,0,0.4684021062259538,PHY1005,SITE205,CRSsNP-001,0,Weak Match
ENT,875,202,8,22,8,8,0.24749006218833838,0.7063804118013957,7,10,5,1.0,0.56,0.19606628339987708,0.5678830297930213,0.23085714285714284,0.6276842633329023,1,0.6810944261226973,PHY1006,SITE206,CRSsNP-001,1,Strong Match
PrimaryCare,760,155,2,20,1,22,0.4078925673187521,0.7215777458627495,7,10,3,0.3,0.6,0.45959106219303775,0.38994706318683064,0.20394736842105263,0.33301714852332553,0,0.27078125268875647,PHY1007,SITE207,CRSsNP-001,0,Weak Match
Allergy,180,18,7,8,5,9,0.4243740770690443,0.8735880352956436,4,13,3,0.7,0.84,0.1937326835610876,0.7043454808909604,0.1,0.5754958278220833,0,0.560332893701029,PHY1008,SITE208,CRSsNP-001,0,Weak Match
Allergy,826,147,2,29,3,23,0.26014265073593223,0.6188039719419656,8,8,8,0.7,0.42000000000000004,0.500198924024195,0.30927889099469624,0.17796610169491525,0.3683274112202486,0,0.39265694520700145,PHY1009,SITE209,CRSsNP-001,0,Weak Match
ENT,584,98,2,40,1,6,0.47886117440254194,0.5398317305846565,4,12,4,1.0,0.19999999999999996,0.06294835032975729,0.5058502136886944,0.1678082191780822,0.48682726249928376,0,0.4944201922868643,PHY1010,SITE210,CRSsNP-001,0,Weak Match
PrimaryCare,473,61,8,26,3,16,0.2625850871808289,0.8722221758950248,7,8,4,0.3,0.48,0.3237798777433742,0.5898141864186738,0.12896405919661733,0.44582586430855164,0,0.4805531826608964,PHY1011,SITE211,CRSsNP-001,0,Weak Match
PrimaryCare,809,99,2,30,6,21,0.40873441409204403,0.6852661410153127,4,6,3,0.3,0.4,0.5101519380050596,0.33567629112710246,0.12237330037082818,0.2767133895176216,0,0.2549787042785787,PHY1012,SITE212,CRSsNP-001,0,Weak Match
ENT,299,35,9,17,7,14,0.29355090582570365,0.4788902137659334,5,12,1,1.0,0.6599999999999999,0.3370011102238155,0.3175036800514935,0.11705685618729098,0.5600648390347399,1,0.6237106007899981,PHY1013,SITE213,CRSsNP-001,1,Strong Match
ENT,636,110,1,20,8,38,0.45901293060883364,0.3758785472421427,7,11,8,1.0,0.6,0.9745582416572433,0.00956301116516107,0.17295597484276728,0.3226957717779997,0,0.32248367068754774,PHY1014,SITE214,CRSsNP-001,0,Weak Match
ENT,565,78,9,16,4,10,0.46310449746007143,0.8055327008791089,3,8,1,1.0,0.6799999999999999,0.2077377664069613,0.638193136830716,0.13805309734513274,0.6443781250617302,1,0.6822643318477906,PHY1015,SITE215,CRSsNP-001,1,Strong Match
ENT,188,40,1,46,3,12,0.13496672314843355,0.517308961676491,5,13,7,1.0,0.07999999999999996,0.2099447969998023,0.4087026367311416,0.2127659574468085,0.4369375370079503,0,0.4178988512775952,PHY1016,SITE216,CRSsNP-001,0,Weak Match
Allergy,367,67,2,43,5,15,0.4745973325240903,0.6962818328186587,3,13,5,0.7,0.14,0.35023048023072223,0.45242271213465246,0.18256130790190736,0.38510182137933513,0,0.3880213685562605,PHY1017,SITE217,CRSsNP-001,0,Weak Match
ENT,754,48,6,7,9,16,0.4302139366081663,0.5824898516195389,5,12,4,1.0,0.86,0.4315589102203904,0.3311111660401738,0.0636604774535809,0.514981461549391,0,0.4351801689779672,PHY1018,SITE218,CRSsNP-001,0,Weak Match
ENT,670,119,6,16,6,13,0.4165242857250667,0.419357867877023,3,5,4,1.0,0.6799999999999999,0.3090347798826676,0.2897617014855824,0.17761194029850746,0.5294518473834766,0,0.48761408388137806,PHY1019,SITE219,CRSsNP-001,0,Weak Match
Allergy,588,61,1,45,9,6,0.18036453587420898,0.6610119651722791,7,11,8,0.7,0.09999999999999998,0.15395671913349582,0.5592447317063703,0.10374149659863946,0.38738864857758437,0,0.37701546415093834,PHY1020,SITE220,CRSsNP-001,0,Weak Match
ENT,976,164,7,47,6,12,0.42204768350186594,0.3364098413704094,1,9,6,1.0,0.06000000000000005,0.28435443177759484,0.24075021208313585,0.1680327868852459,0.4727227959601792,0,0.47772587312353076,PHY1021,SITE221,CRSsNP-001,0,Weak Match
ENT,637,118,8,48,2,15,0.4400530938740147,0.5480054759227153,9,11,1,1.0,0.040000000000000036,0.3013148769646342,0.38288327336911654,0.18524332810047095,0.5167559990024776,1,0.6508160765615562,PHY1022,SITE222,CRSsNP-001,1,Strong Match
ENT,146,14,2,27,5,14,0.21566013378166038,0.6279689637982027,9,13,8,1.0,0.45999999999999996,0.29885236422960026,0.44029895430429755,0.0958904109589041,0.4581471571776255,0,0.4390521575363149,PHY1023,SITE223,CRSsNP-001,0,Weak Match
ENT,387,54,8,23,9,25,0.48090403134492954,0.5616281844711475,5,6,2,1.0,0.54,0.6638176699693324,0.18880947166640394,0.13953488372093023,0.48026384826658014,0,0.4114318366665439,PHY1024,SITE224,CRSsNP-001,0,Weak Match
